character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,Weight_char1,Gravity_char1,Run Maximum Velocity_char1,Walk Maximum Velocity_char1,Maximum Horizontal Air Speed_char1,Maximum Fall Speed_char1,Dash Initial Velocity_char1,Maximum Air Acceleration_char1,Weight_char2,Gravity_char2,Run Maximum Velocity_char2,Walk Maximum Velocity_char2,Maximum Horizontal Air Speed_char2,Maximum Fall Speed_char2,Dash Initial Velocity_char2,Maximum Air Acceleration_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff,matchup_binary
bowser,pikachu,12,8,20,0.6,Bowser,Pikachu,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,,,,,,,,,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,56,-6,0,3,-2,-15,14,-23,1,0.0,,,,,,,,,Char1_Wins
diddy kong,luigi,10,7,17,0.5882352941176471,Diddy Kong,Luigi,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,,,,,,,,,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,-7,3,3,-13,2,29,0,-1,1,-2.0,,,,,,,,,Char1_Wins
ness,wario,11,8,19,0.5789473684210527,Ness,Wario,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,107.0,0.107,1.65,0.889,1.271,1.61,1.837,0.12,-14,-2,-1,-9,3,5,14,-12,3,3.0,-13.0,-0.03,-0.040999999999999925,0.018000000000000016,-0.264,-0.30000000000000004,-0.010999999999999899,-0.01999999999999999,Char1_Wins
ken,zelda,10,9,19,0.5263157894736842,Ken,Zelda,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,18,-3,1,13,-2,-11,1,-9,-1,-3.0,18.0,0.049,0.33000000000000007,-0.08900000000000008,0.028000000000000025,0.25,-0.02200000000000002,-0.03,Char1_Wins
pikachu,pokemon trainer,21,8,29,0.7241379310344828,Pikachu,Pokemon Trainer,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,,,,,,,,,-17,2,1,-7,0,13,-2,0,-1,3.0,,,,,,,,,Char1_Wins
diddy kong,lucina,17,11,28,0.6071428571428571,Diddy Kong,Lucina,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,,,,,,,,,90.0,0.075,1.964,1.575,1.071,1.58,2.255,0.08,0,0,-1,-1,3,2,-8,-20,-3,6.0,,,,,,,,,Char1_Wins
ken,wario,13,1,14,0.9285714285714286,Ken,Wario,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,107.0,0.107,1.65,0.889,1.271,1.61,1.837,0.12,-5,-3,0,0,2,-18,12,-25,0,-2.0,-4.0,0.012999999999999998,0.1100000000000001,-0.06400000000000006,-0.1509999999999998,-0.010000000000000009,0.09899999999999998,-0.08499999999999999,Char1_Wins
diddy kong,pikachu,27,23,50,0.54,Diddy Kong,Pikachu,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,,,,,,,,,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,11,-3,0,0,1,-4,-1,-29,0,-1.0,,,,,,,,,Char1_Wins
pikachu,wario,16,9,25,0.64,Pikachu,Wario,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,107.0,0.107,1.65,0.889,1.271,1.61,1.837,0.12,-29,2,2,-8,2,16,-2,6,1,2.0,-28.0,-0.011999999999999997,0.38900000000000023,0.41300000000000003,-0.31399999999999995,-0.06000000000000005,0.14300000000000002,-0.01999999999999999,Char1_Wins
metaknight,young link,3,2,5,0.6,Meta Knight,Young Link,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,80.0,0.11,2.09,1.239,1.04,1.66,2.211,0.075,,,,,,,,,-8,3,1,2,-4,-29,-6,33,-1,-5.0,,,,,,,,,Char1_Wins
bowser,isabelle,9,3,12,0.75,Bowser,Isabelle,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,,,,,,,,,,,,,,,,,47,-2,3,2,-4,-4,2,-6,1,1.0,,,,,,,,,Char1_Wins
roy,young link,15,7,22,0.6818181818181818,Roy,Young Link,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,,,,,,,,,7,-2,2,0,-4,-26,1,2,0,-4.0,,,,,,,,,Char1_Wins
bowser,metaknight,10,4,14,0.7142857142857143,Bowser,Meta Knight,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,,,,,,,,,80.0,0.11,2.09,1.239,1.04,1.66,2.211,0.075,55,-6,0,-3,0,11,11,-27,0,6.0,,,,,,,,,Char1_Wins
isabelle,young link,3,4,7,0.4285714285714285,Isabelle,Young Link,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,0,-1,-2,-3,0,-14,3,12,-2,0.0,,,,,,,,,Char2_Wins
bowser,bowser,11,13,24,0.4583333333333333,Bowser,Bowser,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,Char2_Wins
pokemon trainer,young link,19,15,34,0.5588235294117647,Pokemon Trainer,Young Link,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,8,1,0,3,-2,-16,-7,29,-1,-2.0,,,,,,,,,Char1_Wins
lucina,pokemon trainer,28,19,47,0.5957446808510638,Lucina,Pokemon Trainer,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,90.0,0.075,1.964,1.575,1.071,1.58,2.255,0.08,,,,,,,,,-6,-1,2,-6,-2,7,5,-9,2,-4.0,,,,,,,,,Char1_Wins
bowser,zelda,13,7,20,0.65,Bowser,Zelda,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,,,,,,,,,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,50,-4,3,8,-4,8,1,-1,1,1.0,,,,,,,,,Char1_Wins
ness,zelda,20,14,34,0.5882352941176471,Ness,Zelda,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,9,-2,0,4,-1,12,3,4,2,2.0,9.0,0.006000000000000005,0.17900000000000005,-0.007000000000000006,-0.08500000000000019,-0.040000000000000036,-0.1319999999999999,0.035,Char1_Wins
ken,pokemon trainer,13,10,23,0.5652173913043478,Ken,Pokemon Trainer,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,,,,,,,,,7,-3,-1,1,0,-21,12,-31,-2,-1.0,,,,,,,,,Char1_Wins
diddy kong,zelda,10,10,20,0.5,Diddy Kong,Zelda,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,,,,,,,,,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,5,-1,3,5,-1,19,-14,-7,0,0.0,,,,,,,,,Char1_Wins
ken,pikachu,17,14,31,0.5483870967741935,Ken,Pikachu,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,24,-5,-2,8,0,-34,14,-31,-1,-4.0,24.0,0.024999999999999994,-0.27900000000000014,-0.4770000000000001,0.16300000000000014,0.050000000000000044,-0.04400000000000004,-0.065,Char1_Wins
kazuya,sonic,7,0,7,1.0,Kazuya,Sonic,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,,,,,,,,,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,27,-3,-8,16,1,-23,-4,-26,-1,1.0,,,,,,,,,Char1_Wins
robin,sonic,8,6,14,0.5714285714285714,Robin,Sonic,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,,,,,,,,,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,9,-3,-7,-6,4,-10,-2,-15,2,-6.0,,,,,,,,,Char1_Wins
isabelle,sonic,6,5,11,0.5454545454545454,Isabelle,Sonic,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,,,,,,,,,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,2,-3,-6,-2,4,-5,7,-12,0,-2.0,,,,,,,,,Char1_Wins
diddy kong,dr. mario,5,1,6,0.8333333333333334,Diddy Kong,Dr. Mario,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,18,98,1,2,31,2,131,20,25,1,2.0,7500,3.394,54.64,3.457766667,,,,,,,,,,,,,,,,,-8,5,4,-4,2,10,-12,-16,1,5.0,,,,,,,,,Char1_Wins
bowser,young link,10,13,23,0.4347826086956521,Bowser,Young Link,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,47,-3,1,-1,-4,-18,5,6,-1,1.0,,,,,,,,,Char2_Wins
bowser,roy,26,12,38,0.6842105263157895,Bowser,Roy,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,,,,,,,,,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,40,-1,-1,-1,0,8,4,4,-1,5.0,,,,,,,,,Char1_Wins
roy,sora,11,1,12,0.9166666666666666,Roy,Sora,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,,,,,,,,,10,-4,4,2,-2,-17,5,-5,-1,-4.0,,,,,,,,,Char1_Wins
pikachu,steve,7,2,9,0.7777777777777778,Pikachu,Steve,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,,,,,,,,,-13,1,5,-8,0,21,-4,27,0,-2.0,,,,,,,,,Char1_Wins
falco,young link,18,10,28,0.6428571428571429,Falco,Young Link,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,,,,,,,,,-6,-3,0,3,-3,-20,-5,17,-1,-5.0,,,,,,,,,Char1_Wins
bowser,diddy kong,23,10,33,0.696969696969697,Bowser,Diddy Kong,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,,,,,,,,,,,,,,,,,45,-3,0,3,-3,-11,15,6,1,1.0,,,,,,,,,Char1_Wins
roy,zelda,13,5,18,0.7222222222222222,Roy,Zelda,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,10,-3,4,9,-4,0,-3,-5,2,-4.0,10.0,0.04300000000000001,0.7150000000000001,0.29399999999999993,0.20999999999999996,0.44999999999999996,0.24200000000000021,-0.015,Char1_Wins
king k. rool,samus,10,6,16,0.625,King K. Rool,Samus,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,,,,,,,,,108.0,0.075,1.654,1.115,1.103,1.33,1.87,0.09,25,-1,-1,6,-1,-18,-12,-12,1,6.0,,,,,,,,,Char1_Wins
falco,sonic,14,7,21,0.6666666666666666,Falco,Sonic,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,-4,-5,-4,4,1,-11,-1,-7,1,-7.0,-4.0,0.04000000000000001,-2.231,-0.09999999999999987,-0.23099999999999998,0.15000000000000013,-0.2749999999999999,0.05,Char1_Wins
bowser,ken,11,9,20,0.55,Bowser,Ken,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,,,,,,,,,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,32,-1,2,-5,-2,19,0,8,2,4.0,,,,,,,,,Char1_Wins
pikachu,roy,9,5,14,0.6428571428571429,Pikachu,Roy,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,-16,5,-1,-4,2,23,-10,27,-2,5.0,-16.0,-0.019000000000000003,-0.10599999999999987,0.09400000000000008,-0.3450000000000001,-0.25,-0.2200000000000002,0.05,Char1_Wins
falco,sora,8,1,9,0.8888888888888888,Falco,Sora,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,,,,,,,,,-3,-5,2,5,-1,-11,-1,10,-2,-5.0,,,,,,,,,Char1_Wins
falco,samus,17,2,19,0.8947368421052632,Falco,Samus,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,108.0,0.075,1.654,1.115,1.103,1.33,1.87,0.09,-26,-3,1,11,-3,-20,-16,3,1,-2.0,-26.0,0.05500000000000001,-0.03499999999999992,0.2290000000000001,-0.126,0.47,0.16500000000000004,0.010000000000000009,Char1_Wins
diddy kong,sora,8,4,12,0.6666666666666666,Diddy Kong,Sora,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,,,,,,,,,,,,,,,,,5,-2,3,-2,1,2,-6,-7,-3,0.0,,,,,,,,,Char1_Wins
samus,sora,11,0,11,1.0,Samus,Sora,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,108.0,0.075,1.654,1.115,1.103,1.33,1.87,0.09,,,,,,,,,23,-2,1,-6,2,9,15,7,-3,-3.0,,,,,,,,,Char1_Wins
dr. mario,young link,3,2,5,0.6,Dr. Mario,Young Link,18,98,1,2,31,2,131,20,25,1,2.0,7500,3.394,54.64,3.457766667,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,10,-5,-3,0,-3,-17,2,16,-3,-5.0,,,,,,,,,Char1_Wins
roy,steve,6,5,11,0.5454545454545454,Roy,Steve,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,,,,,,,,,3,-4,6,-4,-2,-2,6,0,2,-7.0,,,,,,,,,Char1_Wins
byleth,king k. rool,7,5,12,0.5833333333333334,Byleth,King K. Rool,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,,,,,,,,,,,,,,,,,-36,0,-1,-1,-2,-4,5,10,2,-7.0,,,,,,,,,Char1_Wins
bowser,steve,10,4,14,0.7142857142857143,Bowser,Steve,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,,,,,,,,,,,,,,,,,43,-5,5,-5,-2,6,10,4,1,-2.0,,,,,,,,,Char1_Wins
king k. rool,sonic,5,6,11,0.4545454545454545,King K. Rool,Sonic,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,,,,,,,,,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,47,-3,-6,-1,3,-9,3,-22,1,1.0,,,,,,,,,Char2_Wins
falco,steve,4,3,7,0.5714285714285714,Falco,Steve,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,,,,,,,,,-10,-5,4,-1,-1,4,0,15,1,-8.0,,,,,,,,,Char1_Wins
pikachu,young link,11,6,17,0.6470588235294118,Pikachu,Young Link,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,,,,,,,,,-9,3,1,-4,-2,-3,-9,29,-2,1.0,,,,,,,,,Char1_Wins
bowser,falco,19,10,29,0.6551724137931034,Bowser,Falco,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,,,,,,,,,82.0,0.13,1.619,1.344,0.977,1.8,2.035,0.1,53,0,1,-4,-1,2,10,-11,0,6.0,,,,,,,,,Char1_Wins
sonic,zelda,21,10,31,0.6774193548387096,Sonic,Zelda,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,1,1,6,8,-4,17,-8,17,0,2.0,1.0,0.019000000000000003,2.42,0.5299999999999999,0.11599999999999988,0.2999999999999998,0.3520000000000001,-0.015,Char1_Wins
