character_1,character_2,char1_winrate,matchup_binary,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff
diddy kong,zelda,0.5,Char1_Wins,5,-1,3,5,-1,19,-14,-7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,pikachu,0.5483870967741935,Char1_Wins,24,-5,-2,8,0,-34,14,-31,-1,-4.0,24.0,0.0249999999999999,-0.2790000000000001,-0.4770000000000001,0.1630000000000001,0.05,-0.044,-0.065
kazuya,sonic,1.0,Char1_Wins,27,-3,-8,16,1,-23,-4,-26,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,sonic,0.5714285714285714,Char1_Wins,9,-3,-7,-6,4,-10,-2,-15,2,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,sonic,0.5454545454545454,Char1_Wins,2,-3,-6,-2,4,-5,7,-12,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,dr. mario,0.8333333333333334,Char1_Wins,-8,5,4,-4,2,10,-12,-16,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,young link,0.4347826086956521,Char2_Wins,47,-3,1,-1,-4,-18,5,6,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,roy,0.6842105263157895,Char1_Wins,40,-1,-1,-1,0,8,4,4,-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,sora,0.9166666666666666,Char1_Wins,10,-4,4,2,-2,-17,5,-5,-1,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pikachu,steve,0.7777777777777778,Char1_Wins,-13,1,5,-8,0,21,-4,27,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,young link,0.6428571428571429,Char1_Wins,-6,-3,0,3,-3,-20,-5,17,-1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,diddy kong,0.696969696969697,Char1_Wins,45,-3,0,3,-3,-11,15,6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,zelda,0.7222222222222222,Char1_Wins,10,-3,4,9,-4,0,-3,-5,2,-4.0,10.0,0.043,0.7150000000000001,0.2939999999999999,0.2099999999999999,0.4499999999999999,0.2420000000000002,-0.015
king k. rool,samus,0.625,Char1_Wins,25,-1,-1,6,-1,-18,-12,-12,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,sonic,0.6666666666666666,Char1_Wins,-4,-5,-4,4,1,-11,-1,-7,1,-7.0,-4.0,0.04,-2.231,-0.0999999999999998,-0.2309999999999999,0.1500000000000001,-0.2749999999999999,0.05
bowser,ken,0.55,Char1_Wins,32,-1,2,-5,-2,19,0,8,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pikachu,roy,0.6428571428571429,Char1_Wins,-16,5,-1,-4,2,23,-10,27,-2,5.0,-16.0,-0.019,-0.1059999999999998,0.094,-0.3450000000000001,-0.25,-0.2200000000000002,0.05
falco,sora,0.8888888888888888,Char1_Wins,-3,-5,2,5,-1,-11,-1,10,-2,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,samus,0.8947368421052632,Char1_Wins,-26,-3,1,11,-3,-20,-16,3,1,-2.0,-26.0,0.055,-0.0349999999999999,0.2290000000000001,-0.126,0.47,0.165,0.01
diddy kong,sora,0.6666666666666666,Char1_Wins,5,-2,3,-2,1,2,-6,-7,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samus,sora,1.0,Char1_Wins,23,-2,1,-6,2,9,15,7,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr. mario,young link,0.6,Char1_Wins,10,-5,-3,0,-3,-17,2,16,-3,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,steve,0.5454545454545454,Char1_Wins,3,-4,6,-4,-2,-2,6,0,2,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
byleth,king k. rool,0.5833333333333334,Char1_Wins,-36,0,-1,-1,-2,-4,5,10,2,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,steve,0.7142857142857143,Char1_Wins,43,-5,5,-5,-2,6,10,4,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king k. rool,sonic,0.4545454545454545,Char2_Wins,47,-3,-6,-1,3,-9,3,-22,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,steve,0.5714285714285714,Char1_Wins,-10,-5,4,-1,-1,4,0,15,1,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pikachu,young link,0.6470588235294118,Char1_Wins,-9,3,1,-4,-2,-3,-9,29,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,falco,0.6551724137931034,Char1_Wins,53,0,1,-4,-1,2,10,-11,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonic,zelda,0.6774193548387096,Char1_Wins,1,1,6,8,-4,17,-8,17,0,2.0,1.0,0.019,2.42,0.5299999999999999,0.1159999999999998,0.2999999999999998,0.3520000000000001,-0.015
falco,pikachu,0.76,Char1_Wins,3,-6,-1,7,-1,-17,4,-12,1,-6.0,3.0,0.035,-0.4200000000000001,0.042,0.02,0.25,0.0550000000000001,0.0
falco,zelda,0.4782608695652174,Char2_Wins,-3,-4,2,12,-3,6,-9,10,1,-5.0,-3.0,0.059,0.189,0.43,-0.1150000000000001,0.4499999999999999,0.0770000000000001,0.035
falco,ken,0.3529411764705882,Char2_Wins,-21,-1,1,-1,-1,17,-10,19,2,-2.0,-21.0,0.01,-0.141,0.5190000000000001,-0.1430000000000001,0.1999999999999999,0.0990000000000002,0.065
diddy kong,falco,0.6,Char1_Wins,8,3,1,-7,2,13,-5,-17,-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,samus,0.6111111111111112,Char1_Wins,-18,0,2,4,-1,-7,-21,-14,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,luigi,0.76,Char1_Wins,38,0,3,-10,-1,18,15,5,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,inkling,0.5666666666666667,Char1_Wins,41,-6,0,-3,-2,1,13,-23,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,sonic,0.7777777777777778,Char1_Wins,49,-5,-3,0,0,-9,9,-18,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,young link,0.5789473684210527,Char1_Wins,18,1,-2,-11,0,-9,-16,3,-3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,samus,0.625,Char1_Wins,27,-3,2,7,-4,-18,-6,-8,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,ness,0.625,Char1_Wins,0,4,3,7,-1,-5,-15,18,-3,-4.0,0.0,0.0099999999999999,0.316,0.2269999999999998,0.201,0.27,0.2919999999999998,-0.02
bowser,snake,0.5909090909090909,Char1_Wins,29,-4,3,10,-4,-9,21,3,2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,samus,0.6176470588235294,Char1_Wins,-14,3,2,10,-2,-19,-19,15,-1,1.0,-14.0,0.0119999999999999,0.2710000000000001,0.0189999999999999,0.1049999999999999,0.25,0.2479999999999997,-0.0099999999999999
snake,sonic,0.6461538461538462,Char1_Wins,20,-1,-6,-10,4,0,-12,-21,-1,1.0,20.0,-0.0099999999999999,-2.255,-0.5619999999999999,-0.2209999999999999,0.08,-0.55,-0.02
samus,zelda,0.8181818181818182,Char1_Wins,23,-1,1,1,0,26,7,7,0,-3.0,23.0,0.004,0.2239999999999999,0.2009999999999999,0.0109999999999998,-0.02,-0.0879999999999998,0.0249999999999999
samus,sonic,0.6785714285714286,Char1_Wins,22,-2,-5,-7,4,9,15,-10,0,-5.0,22.0,-0.015,-2.196,-0.3289999999999999,-0.1049999999999999,-0.3199999999999998,-0.4399999999999999,0.0399999999999999
luigi,young link,0.7333333333333333,Char1_Wins,9,-3,-2,9,-3,-36,-10,1,-3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,luigi,0.7,Char1_Wins,6,1,1,-5,1,-1,15,-3,0,-5.0,6.0,0.0369999999999999,0.1100000000000001,-0.3089999999999999,0.3500000000000001,0.28,0.121,-0.0399999999999999
pokemon trainer,roy,0.5454545454545454,Char1_Wins,1,3,-2,3,2,10,-8,27,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,ness,0.5,Char1_Wins,41,-2,3,4,-3,-4,-2,-5,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,luigi,0.7272727272727273,Char1_Wins,-3,6,3,-7,1,17,2,28,0,-4.0,-3.0,0.0039999999999999,0.2750000000000001,0.0,0.4379999999999999,0.26,0.3029999999999999,0.005
diddy kong,inkling,0.6785714285714286,Char1_Wins,-4,-3,0,-6,1,12,-2,-29,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,snake,0.6190476190476191,Char1_Wins,-12,2,3,13,-2,-10,8,26,0,-5.0,-12.0,0.0069999999999999,0.33,0.2519999999999999,0.2209999999999999,-0.1499999999999999,0.3579999999999999,0.05
ness,pyra mythra,0.6666666666666666,Char1_Wins,-1,2,-5,-4,2,-10,7,7,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,ike,0.5238095238095238,Char1_Wins,-26,-3,2,5,1,10,8,18,-2,1.0,-25.0,0.038,0.1120000000000001,0.432,-0.1569999999999999,0.1500000000000001,0.2200000000000002,0.05
king k. rool,mario,0.9333333333333332,Char1_Wins,35,1,-2,-5,2,-8,3,-5,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mario,marth,0.5,Char1_Wins,8,-2,-2,5,1,3,2,-13,-4,2.0,8.0,0.0119999999999999,-0.2039999999999999,-0.4199999999999999,0.137,-0.08,-0.3189999999999999,0.0
pyra mythra,shulk,0.75,Char1_Wins,-2,-4,4,2,1,23,5,-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mario,mario,0.1875,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,shulk,0.7647058823529411,Char1_Wins,-15,-4,1,6,1,7,0,-15,-2,-6.0,-15.0,0.032,-0.0529999999999999,0.189,-0.136,0.2199999999999999,0.165,0.05
mario,shulk,0.7708333333333334,Char1_Wins,1,-3,1,6,1,17,1,-25,-4,-4.0,1.0,-0.011,0.088,0.0,0.0949999999999999,-0.08,0.0659999999999998,0.03
marth,ness,0.6363636363636364,Char1_Wins,-4,1,4,3,-3,1,-13,9,1,-7.0,-4.0,-0.002,0.355,0.6679999999999999,0.064,0.27,0.4289999999999998,-0.02
ike,king k. rool,0.625,Char1_Wins,-25,1,0,0,-3,-12,-12,-3,2,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyra mythra,samus,0.6666666666666666,Char1_Wins,-13,-3,4,7,-3,-4,-11,-10,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king k. rool,marth,0.6666666666666666,Char1_Wins,43,-1,-4,0,3,-5,5,-18,-2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mario,pyra mythra,0.9,Char1_Wins,3,1,-3,4,0,-6,-4,3,-4,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,king k. rool,0.5,Char1_Wins,-51,-2,2,5,-2,-2,-4,15,0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,mario,0.7894736842105263,Char1_Wins,-16,-1,0,0,0,-10,-1,10,2,-2.0,-16.0,0.043,-0.141,0.189,-0.2309999999999999,0.3,0.0990000000000002,0.02
pyra mythra,sora,0.8888888888888888,Char1_Wins,10,-5,5,1,-1,5,4,-3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samus,young link,0.4,Char2_Wins,20,0,-1,-8,0,0,11,14,-2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,wii fit trainer,0.6666666666666666,Char1_Wins,39,-2,1,-1,-3,-23,-3,9,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,pokemon trainer,0.3684210526315789,Char2_Wins,-8,-2,-2,-6,2,2,10,-17,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,sora,0.6,Char1_Wins,3,-3,0,-1,2,-5,7,5,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,samus,0.5,Char1_Wins,-13,-2,3,8,-4,-26,-10,-12,2,-1.0,-13.0,0.039,0.4910000000000001,0.0929999999999999,0.199,0.47,0.33,-0.0399999999999999
isabelle,luigi,0.625,Char1_Wins,-9,2,0,-12,3,22,13,11,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,roy,0.5263157894736842,Char1_Wins,8,0,-3,4,2,-11,4,-4,-3,1.0,8.0,0.0059999999999999,-0.385,-0.383,-0.1819999999999999,-0.1999999999999999,-0.2640000000000002,-0.015
ike,mario,0.6842105263157895,Char1_Wins,10,2,-2,-5,-1,-20,-9,-8,4,-3.0,9.0,0.005,-0.2530000000000001,-0.243,-0.074,0.1499999999999999,-0.121,-0.03
bowser,marth,0.5,Char1_Wins,45,-3,-1,1,0,-5,11,-14,-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,pyra mythra,0.5882352941176471,Char1_Wins,-1,6,-2,3,1,-15,-8,25,-4,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,mario,0.7692307692307693,Char1_Wins,37,-1,1,-4,-1,-8,9,-1,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,piranha plant,0.5714285714285714,Char1_Wins,-18,5,3,5,-1,-15,-8,20,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ike,ness,0.6428571428571429,Char1_Wins,14,1,0,3,-3,-16,-20,-12,1,-8.0,13.0,0.015,-0.102,0.005,0.127,0.3399999999999998,-0.0110000000000001,-0.05
mario,piranha plant,0.6666666666666666,Char1_Wins,-14,0,2,6,-2,-6,-4,-2,-1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ike,marth,0.8,Char1_Wins,18,0,-4,0,0,-17,-7,-21,0,-1.0,17.0,0.017,-0.4570000000000001,-0.6629999999999999,0.0629999999999999,0.0699999999999998,-0.4399999999999999,-0.03
bowser,piranha plant,0.7777777777777778,Char1_Wins,23,-1,3,2,-3,-14,5,-3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marth,pyra mythra,0.7142857142857143,Char1_Wins,-5,3,-1,-1,-1,-9,-6,16,0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,shulk,0.5294117647058824,Char1_Wins,38,-4,2,2,0,9,10,-26,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jigglypuff,sora,0.8,Char1_Wins,-17,-4,-1,3,-2,-12,-10,39,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,zelda,0.5714285714285714,Char1_Wins,22,-3,2,5,-2,12,-8,8,1,-5.0,22.0,0.019,0.7700000000000002,0.186,-0.042,0.4299999999999999,-0.1579999999999999,0.005
inkling,young link,0.6,Char1_Wins,6,3,1,2,-2,-19,-8,29,-3,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,incineroar,0.5882352941176471,Char1_Wins,19,1,5,-1,0,5,0,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucina,pyra mythra,0.8181818181818182,Char1_Wins,-5,3,-1,-2,-1,-5,-2,16,0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,isabelle,1.0,Char1_Wins,-6,-2,2,6,-3,-6,-8,5,1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jigglypuff,wario,0.625,Char1_Wins,-40,-3,-2,-3,0,-2,-7,23,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,zelda,0.6578947368421053,Char1_Wins,9,2,3,11,-2,7,-12,22,-1,-2.0,9.0,0.016,0.4950000000000001,0.2199999999999998,0.1159999999999998,0.2299999999999999,0.1599999999999999,0.015
isabelle,lucina,0.3636363636363636,Char2_Wins,-2,-1,-4,0,4,-5,5,-8,-3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,pokemon trainer,0.5471698113207547,Char1_Wins,-3,1,0,-6,0,3,-3,3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,piranha plant,1.0,Char1_Wins,-9,0,1,7,-1,-33,5,-11,-1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sora,young link,0.5555555555555556,Char1_Wins,-3,2,-2,-2,-2,-9,-4,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wario,zelda,0.7894736842105263,Char1_Wins,23,0,1,13,-4,7,-11,16,-1,-1.0,22.0,0.036,0.2199999999999999,-0.025,0.1789999999999998,0.26,-0.121,0.0549999999999999
lucina,pikachu,0.5454545454545454,Char1_Wins,11,-3,1,1,-2,-6,7,-9,3,-7.0,11.0,-0.02,-0.0750000000000001,0.2729999999999999,0.1139999999999999,0.03,0.2749999999999999,-0.02
joker,ken,0.6470588235294118,Char1_Wins,-10,4,1,-7,0,24,-15,34,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,sora,0.8181818181818182,Char1_Wins,8,0,2,-1,0,-4,-6,25,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,pikachu,0.6774193548387096,Char1_Wins,14,-1,-1,1,0,-10,-1,3,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,young link,0.6666666666666666,Char1_Wins,19,-2,0,-4,-2,-14,-4,15,-1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,pyra mythra,0.65,Char1_Wins,-13,0,-3,4,0,-16,-5,13,-2,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incineroar,piranha plant,0.6666666666666666,Char1_Wins,4,-2,-2,3,-3,-19,5,-3,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,pokemon trainer,0.7142857142857143,Char1_Wins,-14,-4,0,0,-1,-4,2,-12,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,roy,0.5833333333333334,Char1_Wins,-7,1,-4,-3,4,12,2,10,-2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,piranha plant,0.875,Char1_Wins,-30,-1,2,6,-2,-16,-5,8,1,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jigglypuff,young link,0.75,Char1_Wins,-20,-2,-3,1,-4,-21,-14,46,-2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falco,lucina,0.6666666666666666,Char1_Wins,-8,-3,-2,6,1,-11,-3,-3,-2,1.0,-8.0,0.055,-0.345,-0.2309999999999998,-0.0939999999999999,0.2199999999999999,-0.2199999999999997,0.02
piranha plant,zelda,0.6,Char1_Wins,27,-3,0,6,-1,22,-4,2,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,ken,0.6206896551724138,Char1_Wins,-13,2,2,-8,1,30,-15,2,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sora,wario,0.6923076923076923,Char1_Wins,-23,1,-1,-6,2,10,3,-16,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,wario,0.65,Char1_Wins,-15,1,1,-7,2,6,-3,9,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,robin,0.6666666666666666,Char1_Wins,-18,-2,6,11,-3,-8,4,-15,-3,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incineroar,incineroar,0.1666666666666666,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloud,marth,0.4,Char2_Wins,10,-3,-1,5,1,5,5,-12,0,1.0,10.0,0.023,0.2029999999999998,-0.4199999999999999,0.084,0.0999999999999998,-0.1099999999999998,-0.0099999999999999
incineroar,yoshi,0.6111111111111112,Char1_Wins,12,-5,-5,2,-1,-8,10,-3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kazuya,roy,0.8571428571428571,Char1_Wins,18,1,-6,15,1,-6,-9,-4,-3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incineroar,robin,0.75,Char1_Wins,21,-3,-1,7,-4,-4,11,-3,-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incineroar,kazuya,0.7142857142857143,Char1_Wins,3,-3,0,-15,-1,9,13,8,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
