character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff
bowser,pikachu,12,8,20,0.6,Bowser,Pikachu,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,56,-6,0,3,-2,-15,14,-23,1,0.0
diddy kong,luigi,10,7,17,0.5882352941176471,Diddy Kong,Luigi,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,-7,3,3,-13,2,29,0,-1,1,-2.0
ness,wario,11,8,19,0.5789473684210527,Ness,Wario,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-14,-2,-1,-9,3,5,14,-12,3,3.0
ken,zelda,10,9,19,0.5263157894736842,Ken,Zelda,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,18,-3,1,13,-2,-11,1,-9,-1,-3.0
pikachu,pokemon trainer,21,8,29,0.7241379310344828,Pikachu,Pokemon Trainer,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,-17,2,1,-7,0,13,-2,0,-1,3.0
diddy kong,lucina,17,11,28,0.6071428571428571,Diddy Kong,Lucina,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,0,0,-1,-1,3,2,-8,-20,-3,6.0
ken,wario,13,1,14,0.9285714285714286,Ken,Wario,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-5,-3,0,0,2,-18,12,-25,0,-2.0
diddy kong,pikachu,27,23,50,0.54,Diddy Kong,Pikachu,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,11,-3,0,0,1,-4,-1,-29,0,-1.0
pikachu,wario,16,9,25,0.64,Pikachu,Wario,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-29,2,2,-8,2,16,-2,6,1,2.0
metaknight,young link,3,2,5,0.6,Meta Knight,Young Link,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,-8,3,1,2,-4,-29,-6,33,-1,-5.0
bowser,isabelle,9,3,12,0.75,Bowser,Isabelle,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,47,-2,3,2,-4,-4,2,-6,1,1.0
roy,young link,15,7,22,0.6818181818181818,Roy,Young Link,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,7,-2,2,0,-4,-26,1,2,0,-4.0
bowser,metaknight,10,4,14,0.7142857142857143,Bowser,Meta Knight,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,55,-6,0,-3,0,11,11,-27,0,6.0
isabelle,young link,3,4,7,0.4285714285714285,Isabelle,Young Link,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,0,-1,-2,-3,0,-14,3,12,-2,0.0
bowser,bowser,11,13,24,0.4583333333333333,Bowser,Bowser,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,0,0,0,0,0,0,0,0,0,0.0
pokemon trainer,young link,19,15,34,0.5588235294117647,Pokemon Trainer,Young Link,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,8,1,0,3,-2,-16,-7,29,-1,-2.0
lucina,pokemon trainer,28,19,47,0.5957446808510638,Lucina,Pokemon Trainer,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,-6,-1,2,-6,-2,7,5,-9,2,-4.0
bowser,zelda,13,7,20,0.65,Bowser,Zelda,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,50,-4,3,8,-4,8,1,-1,1,1.0
ness,zelda,20,14,34,0.5882352941176471,Ness,Zelda,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,9,-2,0,4,-1,12,3,4,2,2.0
ken,pokemon trainer,13,10,23,0.5652173913043478,Ken,Pokemon Trainer,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,7,-3,-1,1,0,-21,12,-31,-2,-1.0
diddy kong,zelda,10,10,20,0.5,Diddy Kong,Zelda,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,5,-1,3,5,-1,19,-14,-7,0,0.0
ken,pikachu,17,14,31,0.5483870967741935,Ken,Pikachu,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,24,-5,-2,8,0,-34,14,-31,-1,-4.0
kazuya,sonic,7,0,7,1.0,Kazuya,Sonic,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,27,-3,-8,16,1,-23,-4,-26,-1,1.0
robin,sonic,8,6,14,0.5714285714285714,Robin,Sonic,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,9,-3,-7,-6,4,-10,-2,-15,2,-6.0
isabelle,sonic,6,5,11,0.5454545454545454,Isabelle,Sonic,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,2,-3,-6,-2,4,-5,7,-12,0,-2.0
diddy kong,dr. mario,5,1,6,0.8333333333333334,Diddy Kong,Dr. Mario,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,18,98,1,2,31,2,131,20,25,1,2.0,7500,3.394,54.64,3.457766667,-8,5,4,-4,2,10,-12,-16,1,5.0
bowser,young link,10,13,23,0.4347826086956521,Bowser,Young Link,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,47,-3,1,-1,-4,-18,5,6,-1,1.0
bowser,roy,26,12,38,0.6842105263157895,Bowser,Roy,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,40,-1,-1,-1,0,8,4,4,-1,5.0
roy,sora,11,1,12,0.9166666666666666,Roy,Sora,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,10,-4,4,2,-2,-17,5,-5,-1,-4.0
pikachu,steve,7,2,9,0.7777777777777778,Pikachu,Steve,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,-13,1,5,-8,0,21,-4,27,0,-2.0
falco,young link,18,10,28,0.6428571428571429,Falco,Young Link,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,-6,-3,0,3,-3,-20,-5,17,-1,-5.0
bowser,diddy kong,23,10,33,0.696969696969697,Bowser,Diddy Kong,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,45,-3,0,3,-3,-11,15,6,1,1.0
roy,zelda,13,5,18,0.7222222222222222,Roy,Zelda,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,10,-3,4,9,-4,0,-3,-5,2,-4.0
king k. rool,samus,10,6,16,0.625,King K. Rool,Samus,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,25,-1,-1,6,-1,-18,-12,-12,1,6.0
falco,sonic,14,7,21,0.6666666666666666,Falco,Sonic,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,-4,-5,-4,4,1,-11,-1,-7,1,-7.0
bowser,ken,11,9,20,0.55,Bowser,Ken,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,32,-1,2,-5,-2,19,0,8,2,4.0
pikachu,roy,9,5,14,0.6428571428571429,Pikachu,Roy,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,-16,5,-1,-4,2,23,-10,27,-2,5.0
falco,sora,8,1,9,0.8888888888888888,Falco,Sora,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,-3,-5,2,5,-1,-11,-1,10,-2,-5.0
falco,samus,17,2,19,0.8947368421052632,Falco,Samus,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-26,-3,1,11,-3,-20,-16,3,1,-2.0
diddy kong,sora,8,4,12,0.6666666666666666,Diddy Kong,Sora,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,5,-2,3,-2,1,2,-6,-7,-3,0.0
samus,sora,11,0,11,1.0,Samus,Sora,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,81,85,8,3,29,3,139,14,16,5,7.0,23100,8.078,45.59,3.2794,23,-2,1,-6,2,9,15,7,-3,-3.0
dr. mario,young link,3,2,5,0.6,Dr. Mario,Young Link,18,98,1,2,31,2,131,20,25,1,2.0,7500,3.394,54.64,3.457766667,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,10,-5,-3,0,-3,-17,2,16,-3,-5.0
roy,steve,6,5,11,0.5454545454545454,Roy,Steve,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,3,-4,6,-4,-2,-2,6,0,2,-7.0
byleth,king k. rool,7,5,12,0.5833333333333334,Byleth,King K. Rool,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,-36,0,-1,-1,-2,-4,5,10,2,-7.0
bowser,steve,10,4,14,0.7142857142857143,Bowser,Steve,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,43,-5,5,-5,-2,6,10,4,1,-2.0
king k. rool,sonic,5,6,11,0.4545454545454545,King K. Rool,Sonic,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,47,-3,-6,-1,3,-9,3,-22,1,1.0
falco,steve,4,3,7,0.5714285714285714,Falco,Steve,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,-10,-5,4,-1,-1,4,0,15,1,-8.0
pikachu,young link,11,6,17,0.6470588235294118,Pikachu,Young Link,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,-9,3,1,-4,-2,-3,-9,29,-2,1.0
bowser,falco,19,10,29,0.6551724137931034,Bowser,Falco,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,53,0,1,-4,-1,2,10,-11,0,6.0
sonic,zelda,21,10,31,0.6774193548387096,Sonic,Zelda,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,1,1,6,8,-4,17,-8,17,0,2.0
falco,pikachu,19,6,25,0.76,Falco,Pikachu,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,3,-6,-1,7,-1,-17,4,-12,1,-6.0
falco,zelda,11,12,23,0.4782608695652174,Falco,Zelda,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,-3,-4,2,12,-3,6,-9,10,1,-5.0
falco,ken,6,11,17,0.3529411764705882,Falco,Ken,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,-21,-1,1,-1,-1,17,-10,19,2,-2.0
diddy kong,falco,18,12,30,0.6,Diddy Kong,Falco,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,8,3,1,-7,2,13,-5,-17,-1,5.0
diddy kong,samus,11,7,18,0.6111111111111112,Diddy Kong,Samus,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-18,0,2,4,-1,-7,-21,-14,0,3.0
bowser,luigi,19,6,25,0.76,Bowser,Luigi,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,38,0,3,-10,-1,18,15,5,2,-1.0
bowser,inkling,17,13,30,0.5666666666666667,Bowser,Inkling,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,41,-6,0,-3,-2,1,13,-23,2,3.0
bowser,sonic,14,4,18,0.7777777777777778,Bowser,Sonic,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,49,-5,-3,0,0,-9,9,-18,1,-1.0
snake,young link,22,16,38,0.5789473684210527,Snake,Young Link,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,18,1,-2,-11,0,-9,-16,3,-3,3.0
bowser,samus,10,6,16,0.625,Bowser,Samus,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,27,-3,2,7,-4,-18,-6,-8,1,4.0
inkling,ness,30,18,48,0.625,Inkling,Ness,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,0,4,3,7,-1,-5,-15,18,-3,-4.0
bowser,snake,26,18,44,0.5909090909090909,Bowser,Snake,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,29,-4,3,10,-4,-9,21,3,2,-2.0
inkling,samus,21,13,34,0.6176470588235294,Inkling,Samus,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-14,3,2,10,-2,-19,-19,15,-1,1.0
snake,sonic,42,23,65,0.6461538461538462,Snake,Sonic,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,20,-1,-6,-10,4,0,-12,-21,-1,1.0
samus,zelda,18,4,22,0.8181818181818182,Samus,Zelda,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,23,-1,1,1,0,26,7,7,0,-3.0
samus,sonic,19,9,28,0.6785714285714286,Samus,Sonic,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,22,-2,-5,-7,4,9,15,-10,0,-5.0
luigi,young link,11,4,15,0.7333333333333333,Luigi,Young Link,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,9,-3,-2,9,-3,-36,-10,1,-3,2.0
ken,luigi,7,3,10,0.7,Ken,Luigi,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,6,1,1,-5,1,-1,15,-3,0,-5.0
pokemon trainer,roy,18,15,33,0.5454545454545454,Pokemon Trainer,Roy,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,1,3,-2,3,2,10,-8,27,-1,2.0
bowser,ness,18,18,36,0.5,Bowser,Ness,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,41,-2,3,4,-3,-4,-2,-5,-1,-1.0
inkling,luigi,16,6,22,0.7272727272727273,Inkling,Luigi,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,-3,6,3,-7,1,17,2,28,0,-4.0
diddy kong,inkling,19,9,28,0.6785714285714286,Diddy Kong,Inkling,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,-4,-3,0,-6,1,12,-2,-29,1,2.0
inkling,snake,39,24,63,0.6190476190476191,Inkling,Snake,64,94,9,6,33,3,129,10,38,1,5.0,18000,5.923,48.78,3.723066667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,-12,2,3,13,-2,-10,8,26,0,-5.0
ness,pyra mythra,14,7,21,0.6666666666666666,Ness,Pyra Mythra,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,79,95,3,8,30,2,144,18,13,5,8.0,35300,9.631,45.07,2.4625,-1,2,-5,-4,2,-10,7,7,-1,1.0
falco,ike,11,10,21,0.5238095238095238,Falco,Ike,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,-26,-3,2,5,1,10,8,18,-2,1.0
king k. rool,mario,14,1,15,0.9333333333333332,King K. Rool,Mario,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,35,1,-2,-5,2,-8,3,-5,2,6.0
mario,marth,5,5,10,0.5,Mario,Marth,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,21,90,6,7,29,1,135,12,29,5,2.0,6000,5.199,41.05,4.2565,8,-2,-2,5,1,3,2,-13,-4,2.0
pyra mythra,shulk,9,3,12,0.75,Pyra Mythra,Shulk,79,95,3,8,30,2,144,18,13,5,8.0,35300,9.631,45.07,2.4625,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,-2,-4,4,2,1,23,5,-28,0,0.0
mario,mario,3,13,16,0.1875,Mario,Mario,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,0,0,0,0,0,0,0,0,0,0.0
falco,shulk,13,4,17,0.7647058823529411,Falco,Shulk,20,82,3,5,34,2,128,13,26,3,2.0,20000,6.871,46.45,4.1116,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,-15,-4,1,6,1,7,0,-15,-2,-6.0
mario,shulk,37,11,48,0.7708333333333334,Mario,Shulk,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,1,-3,1,6,1,17,1,-25,-4,-4.0
marth,ness,7,4,11,0.6363636363636364,Marth,Ness,21,90,6,7,29,1,135,12,29,5,2.0,6000,5.199,41.05,4.2565,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,-4,1,4,3,-3,1,-13,9,1,-7.0
ike,king k. rool,5,3,8,0.625,Ike,King K. Rool,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,-25,1,0,0,-3,-12,-12,-3,2,-9.0
pyra mythra,samus,8,4,12,0.6666666666666666,Pyra Mythra,Samus,79,95,3,8,30,2,144,18,13,5,8.0,35300,9.631,45.07,2.4625,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-13,-3,4,7,-3,-4,-11,-10,3,4.0
king k. rool,marth,4,2,6,0.6666666666666666,King K. Rool,Marth,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,21,90,6,7,29,1,135,12,29,5,2.0,6000,5.199,41.05,4.2565,43,-1,-4,0,3,-5,5,-18,-2,8.0
